Kruskall
Small data
20000 iteretions:
basik (time 4.4555962085723876e-05) is quicker then Kazimir (time 0.00016169464588165284) at 262.90237784689475%. (Verteves: 5, Chance: 0.5)
basik (time 9.236743450164795e-05) is quicker then Kazimir (time 0.00021174975633621215) at 129.24719894914293%. (Verteves: 10, Chance: 0.5)
Kazimir (time 0.00011499236822128296) is quicker then basik (time 0.00014437342882156373) at 25.550443959673913%. (Verteves: 15, Chance: 0.5)
Kazimir (time 0.0001946873188018799) is quicker then basik (time 0.00021841267347335816) at 12.186389343428147%. (Verteves: 20, Chance: 0.5)
Kazimir (time 0.0003084988594055176) is quicker then basik (time 0.0003153292179107666) at 2.214062806718715%. (Verteves: 25, Chance: 0.5)
basik (time 0.00040971096754074097) is quicker then Kazimir (time 0.00042644051313400267) at 4.083255494398784%. (Verteves: 30, Chance: 0.5)
basik (time 0.0005392834305763245) is quicker then Kazimir (time 0.0005937464952468873) at 10.099154096457013%. (Verteves: 35, Chance: 0.5)
basik (time 0.0006829288601875305) is quicker then Kazimir (time 0.000784873616695404) at 14.92758066775501%. (Verteves: 40, Chance: 0.5)
basik (time 0.0008456122159957886) is quicker then Kazimir (time 0.0010067016482353211) at 19.050036079461606%. (Verteves: 45, Chance: 0.5)
basik (time 0.001004764187335968) is quicker then Kazimir (time 0.0012399853944778441) at 23.41058828594815%. (Verteves: 50, Chance: 0.5)

Kazimir (time 0.00016844091415405273) is quicker then basik (time 0.00017118221521377562) at 1.6274555819708638%. (Verteves: 25, Chance: 0.1)
Kazimir (time 0.0002086870789527893) is quicker then basik (time 0.00021056222915649415) at 0.8985463849101336%. (Verteves: 25, Chance: 0.2)
Kazimir (time 0.00023748561143875123) is quicker then basik (time 0.0002395999789237976) at 0.890313931962865%. (Verteves: 25, Chance: 0.3)
Kazimir (time 0.0002694898247718811) is quicker then basik (time 0.00027263078689575195) at 1.1655216023572166%. (Verteves: 25, Chance: 0.4)
Kazimir (time 0.00030139234066009523) is quicker then basik (time 0.00030727888345718384) at 1.9531162551099186%. (Verteves: 25, Chance: 0.5)
Kazimir (time 0.0003330091595649719) is quicker then basik (time 0.00034378201961517336) at 3.2350041254945126%. (Verteves: 25, Chance: 0.6)
Kazimir (time 0.0003646971940994263) is quicker then basik (time 0.00038357762098312377) at 5.177014572409959%. (Verteves: 25, Chance: 0.7)
Kazimir (time 0.0003929639458656311) is quicker then basik (time 0.00041645164489746093) at 5.977062089014424%. (Verteves: 25, Chance: 0.8)
Kazimir (time 0.0004145444869995117) is quicker then basik (time 0.00044008026123046876) at 6.1599599154691305%. (Verteves: 25, Chance: 0.9)
Kazimir (time 0.00044324904680252073) is quicker then basik (time 0.0004758885145187378) at 7.363685934954489%. (Verteves: 25, Chance: 1.0)
Big data
1000 iteretions:
basik (time 0.0010571837425231933) is quicker then Kazimir (time 0.0014376773834228515) at 35.99124973219219%. (Verteves: 50, Chance: 0.5)
