Big size
    1000 iteretions:
        Prim (time 0.0010464601516723632) is quicker then Kruskal (time 0.0010512223243713378) at 0.45507444228660177%. (Verteves: 100, Chance: 0.1)
        Prim (time 0.001099161386489868) is quicker then Kruskal (time 0.0013091604709625244) at 19.105391351426633%. (Verteves: 100, Chance: 0.2)
        Prim (time 0.001361875057220459) is quicker then Kruskal (time 0.0019691338539123537) at 44.589905180530224%. (Verteves: 100, Chance: 0.3)
        Prim (time 0.001602916955947876) is quicker then Kruskal (time 0.0026582529544830324) at 65.8384699606031%. (Verteves: 100, Chance: 0.4)
        Prim (time 0.0018463144302368164) is quicker then Kruskal (time 0.003034806251525879) at 64.37104113066056%. (Verteves: 100, Chance: 0.5)
        Prim (time 0.002121814489364624) is quicker then Kruskal (time 0.003608649969100952) at 70.0737735173804%. (Verteves: 100, Chance: 0.6)
        Prim (time 0.0023569796085357664) is quicker then Kruskal (time 0.004173777580261231) at 77.08161602866471%. (Verteves: 100, Chance: 0.7)
        Prim (time 0.002761861801147461) is quicker then Kruskal (time 0.005073701143264771) at 83.70582992808758%. (Verteves: 100, Chance: 0.8)
        Prim (time 0.0025672972202301025) is quicker then Kruskal (time 0.00464717698097229) at 81.0143735736126%. (Verteves: 100, Chance: 0.9)
        Prim (time 0.00261832332611084) is quicker then Kruskal (time 0.005056783437728882) at 93.13059572516741%. (Verteves: 100, Chance: 1.0)

        Prim (time 0.0007589821815490723) is quicker then Kruskal (time 0.0007627804279327393) at 0.5004394669601879%. (Verteves: 100, Chance: 0.1)
        Prim (time 0.0047792942523956295) is quicker then Kruskal (time 0.0050151185989379884) at 4.934292263426784%. (Verteves: 300, Chance: 0.1)
        Prim (time 0.013076045513153077) is quicker then Kruskal (time 0.013732110500335694) at 5.017304249382477%. (Verteves: 500, Chance: 0.1)
        Prim (time 0.034382811069488525) is quicker then Kruskal (time 0.04227873992919922) at 22.964756557434526%. (Verteves: 800, Chance: 0.1)
        Prim (time 0.05659388566017151) is quicker then Kruskal (time 0.07239692378044128) at 27.92357855610419%. (Verteves: 1000, Chance: 0.1)
        Prim (time 0.1332232367992401) is quicker then Kruskal (time 0.1787012321949005) at 34.136684026220706%. (Verteves: 1500, Chance: 0.1)

    500 iteretions
        Prim (time 0.0003440532684326172) is quicker then Kruskal (time 0.0003757829666137695) at 9.222321393922911%. (Verteves: 50, Chance: 0.1)
        Prim (time 0.00099041748046875) is quicker then Kruskal (time 0.0010194063186645507) at 2.926931194922048%. (Verteves: 100, Chance: 0.1)
        Prim (time 0.004864702701568604) is quicker then Kruskal (time 0.005166762828826904) at 6.20922070244707%. (Verteves: 300, Chance: 0.1)
